slug,location,latitude,longitude,city,post,country,water,water_name,city_slug,water_name_slug,is_2020
aarezufluss_bern_scheurerk,aarezufluss_bern_scheurerk,46.97100970,7.45278970,Bern,3004,CH,r,Aare,bern,aare,False
aare_bern_caveltin,Aare_Bern_CaveltiN,46.92357880,7.47331910,Muri bei Bern,3074,CH,r,Aare,muri-bei-bern,aare,False
aare_bern_gerberm,Aare_bern_gerberm,46.98936310,7.45209770,Bern,3004,CH,r,Aare,bern,aare,False
aare_bern_scheurerk,aare_bern_scheurerk,46.97096720,7.45258570,Bern,3004,CH,r,Aare,bern,aare,False
aare_brugg_buchie,Aare_Brugg_BuchiE,47.49485530,8.23655810,Brugg,5200,CH,r,Aare,brugg,aare,False
aare_elfenau_cataldiv,Aare_Elfenau_cataldiv,46.93102010,7.46296050,Bern,3006,CH,r,Aare,bern,aare,False
aare_kehrsatz_stolten,aare_kehrsatz_stolten,46.92357190,7.48830110,Belp,3123,CH,r,Aare,belp,aare,False
aare_koniz_hoppej,aare_köniz_hoppej,46.93458850,7.45817030,Köniz,3084,CH,r,Aare,koniz,aare,False
aare_rupperswil_badert,aare_rupperswil_badert,47.41030900,8.11255370,Rupperswil,5102,CH,r,Aare,rupperswil,aare,False
aare_solothurn_nguyena,aare_solothurn_nguyena,47.19774950,7.52422470,Solothurn,4500,CH,r,Aare,solothurn,aare,False
aare_suhrespitz_badert,aare_suhrespitz_badert,47.40566920,8.06601800,Aarau,5032,CH,r,Aare,aarau,aare,False
anarchy-beach,Anarchy Beach,46.44721600,6.85961200,La Tour de Peilz,1814,CH,l,Lac Léman,la-tour-de-peilz,lac-leman,False
arabie,Arabie,46.46209900,6.83497200,Vevey,1800,CH,l,Lac Léman,vevey,lac-leman,False
arve_carouge_battistellak,arve_carouge_battistellak,46.17849120,6.15431870,Veyrier,1234,CH,r,Arve,veyrier,arve,False
baby-plage-geneva,Baby Plage Geneva,46.20855800,6.16292300,Genève,1208,CH,l,Lac Léman,geneve,lac-leman,True
bagno-pubblico-ascona,Bagno Pubblico Ascona,46.14756500,8.77914400,Ascona,6612,CH,l,Lago Maggiore,ascona,lago-maggiore,True
bain-des-dames,Bain des Dames,46.45050680,6.85809180,La Tour de Peilz,1814,CH,l,Lac Léman,la-tour-de-peilz,lac-leman,True
baye-de-clarens,Baye de Clarens,46.43978700,6.88890300,Montreux,1815,CH,l,Lac Léman,montreux,lac-leman,False
baye-de-montreux-d,Baye de Montreux D,46.43096200,6.90867300,Montreux,1820,CH,l,Lac Léman,montreux,lac-leman,False
baye-de-montreux-g,Baye de Montreux G,46.43083400,6.90877800,Montreux,1820,CH,l,Lac Léman,montreux,lac-leman,True
berlingen-swisslitterreport,Berlingen swisslitterreport,47.67243120,9.01105530,Berlingen,8267,CH,l,Untersee,berlingen,untersee,False
bielersee_vinelz_fankhausers,Bielersee_Vinelz_FankhauserS,47.03839840,7.10831140,Vinelz,3234,CH,l,Bielersee,vinelz,bielersee,True
birskopfli-rusco,Birsköpfli Rusco,47.55774290,7.61729160,Birsfelden,4127,CH,r,Birs,birsfelden,birs,False
birs_basel_grunern,Birs_Basel_GrunerN,47.55112760,7.62219880,Basel,4052,CH,r,Birs,basel,birs,False
birs_basel_laderachs,Birs_basel_lÃ¤derachs,47.54604970,7.62259810,Basel,4052,CH,r,Birs,basel,birs,False
birs_reinach_dinuccin,Birs_Reinach_DiNucciN,47.50368170,7.60700850,Reinach,4153,CH,r,Birs,reinach,birs,False
bodensee_altenrhein_caluoria,bodensee_altenrhein_caluoria,47.48650690,9.54396640,Thal,9422,CH,l,Bodensee,thal,bodensee,False
bodensee_arbon_moslis,Bodensee_Arbon_MosliS,47.52088870,9.43114400,Arbon,9320,CH,l,Bodensee,arbon,bodensee,False
bodensee_horn_huberm,bodensee_horn_huberm,47.49827570,9.45697820,Horn,9326,CH,l,Bodensee,horn,bodensee,False
bodensee_steinach_dolder_a,Bodensee_Steinach_Dolder_A,47.50629920,9.43617140,Steinach,9323,CH,l,Bodensee,steinach,bodensee,False
bodensee_thal_schlachterj_1,bodensee_thal_schlachterj_1,47.48621630,9.54390990,Thal,9422,CH,l,Bodensee,thal,bodensee,False
boiron,Boiron,46.49102970,6.48016180,Tolochenaz,1131,CH,l,Lac Léman,tolochenaz,lac-leman,False
chriesbach_duebendorf_schneidera,chriesbach_duebendorf_schneidera,47.40291950,8.60514580,Dübendorf,8600,CH,r,Chriesbach,dubendorf,chriesbach,False
emme_biberist_jennim,emme_biberist_jennim,47.16922080,7.55899480,Biberist,4562,CH,r,Emme,biberist,emme,False
emme_luterbach_huggenbergerk,emme_luterbach_huggenbergerk,47.21194420,7.57401440,Zuchwil,4528,CH,r,Emme,zuchwil,emme,False
emme_utzenstorf_gruttert,Emme_Utzenstorf_Grüttert,47.12369600,7.53962700,Utzenstorf,3427,CH,r,Emme,utzenstorf,emme,False
evole-plage,Evole plage,46.98947700,6.92392000,Neuchâtel,2000,CH,l,Neuenburgersee,neuchatel,neuenburgersee,True
glatt_oerlikon_covosn,glatt_oerlikon_covosN,47.41676910,8.56671200,Opfikon,8152,CH,r,Glatt,opfikon,glatt,False
goldach_goldach_schlachterj,goldach_goldach_schlachterj,47.47391110,9.45930940,Goldach,9403,CH,r,Goldach,goldach,goldach,False
grand-clos,Grand Clos,46.38774600,6.84368600,Saint Gingolph,1898,CH,l,Lac Léman,saint-gingolph,lac-leman,True
greifensee_fallanden_meistery,greifensee_fällanden_meistery,47.36093810,8.65372280,Fällanden,8117,CH,l,Greifensee,fallanden,greifensee,False
greifensee_fallanden_simmenc,greifensee_fällanden_simmenc,47.35971410,8.65484330,Fällanden,8117,CH,l,Greifensee,fallanden,greifensee,False
greifensee_greifensee_simmenc,greifensee_greifensee_simmenc,47.36357230,8.67569910,Greifensee,8606,CH,l,Greifensee,greifensee,greifensee,False
greifensee_maur_simmenc,greifensee_maur_simmenc,47.33238640,8.68551460,Maur,8124,CH,l,Greifensee,maur,greifensee,False
greifensee_uster_fischerb_-2,greifensee_uster_fischerb_ 2,47.34743600,8.68988050,Uster,8610,CH,l,Greifensee,uster,greifensee,False
greifensee_uster_fischerb_1,greifensee_uster_fischerb_1,47.35012740,8.68979720,Uster,8610,CH,l,Greifensee,uster,greifensee,False
grendelbach_effretikon_dambonec,Grendelbach_Effretikon_DamboneC,47.42564910,8.69070620,Illnau Effretikon,8307,CH,r,Grändelbach,illnau-effretikon,grandelbach,False
gasi-strand,Gäsi Strand,47.12844200,9.11083100,Weesen,8872,CH,l,Walensee,weesen,walensee,True
inn_pradella_kohlt,Inn_Pradella_KohlT,46.80087600,10.31999400,Scuol,7550,CH,r,Inn,scuol,inn,False
jardin-botanique,Jardin Botanique,46.22590880,6.14935720,Genève,1202,CH,l,Lac Léman,geneve,lac-leman,False
jona_tann_nusslin,jona_tann_nusslin,47.26842720,8.86412510,Dürnten,8635,CH,r,Jona,durnten,jona,False
katzenbach_zuerich_sanesim,katzenbach_zuerich_sanesim,47.42847280,8.51308800,Zurich,8046,CH,l,Katzensee,zurich,katzensee,False
katzensee_regensdorfzuerichaffoltern_stueberj,katzensee_regensdorfzuerichaffoltern_stueberj,47.43112810,8.49292430,Zurich,8046,CH,l,Katzensee,zurich,katzensee,False
la-morges,La Morges,46.50406300,6.49409900,Morges,1110,CH,l,Lac Léman,morges,lac-leman,False
la-petite-plage,La Petite plage,46.78505400,6.65687700,Yverdon-les-Bains,1400,CH,l,Neuenburgersee,yverdon-les-bains,neuenburgersee,True
lac-leman-hammerdirt,Lac Léman Hammerdirt,46.45038920,6.85823420,La Tour de Peilz,1814,CH,l,Lac Léman,la-tour-de-peilz,lac-leman,False
lacleman_gland_kubela,lacléman_gland_kubela,46.40286930,6.28193580,Gland,1196,CH,l,Lac Léman,gland,lac-leman,False
lacleman_gland_lecoanets,Lacléman_Gland_LecoanetS,46.40281060,6.28195860,Gland,1196,CH,l,Lac Léman,gland,lac-leman,False
lacleman_vidy_santie,lacléman_vidy_santie,46.51831780,6.58960780,Lausanne,1007,CH,l,Lac Léman,lausanne,lac-leman,False
langete_langenthal_geiserm,langete_langenthal_geiserm,47.21653320,7.79230410,Langenthal,4900,CH,r,Langeten,langenthal,langeten,False
le-pierrier,Le Pierrier,46.43972700,6.88896800,Montreux,1815,CH,l,Lac Léman,montreux,lac-leman,False
le-port,Le Port,46.45224500,6.85518000,La Tour de Peilz,1814,CH,l,Lac Léman,la-tour-de-peilz,lac-leman,False
limmat_dietikon_keiserp,limmat_dietikon_keiserp,47.40798910,8.40953980,Dietikon,8953,CH,r,Limmat,dietikon,limmat,False
limmat_unterengstringen_oggierbuhrer,Limmat_Unterengstringen_OggierBührer,47.40940030,8.44693340,Unterengstringen,8103,CH,r,Limmat,unterengstringen,limmat,False
limmat_zuerich_jansena,Limmat_Zuerich_JansenA,47.40002470,8.48468470,Zurich,8064,CH,r,Limmat,zurich,limmat,False
limmat_zuerich_suterdglauserp,limmat_zuerich_suterd&glauserp,47.39453930,8.51344350,Zurich,8005,CH,r,Limmat,zurich,limmat,False
limmat_zuerich_wagnerc,Limmat_Zuerich_WagnerC,47.40349560,8.47777010,Zurich,8064,CH,r,Limmat,zurich,limmat,False
limmat_zurich_mortensena_meiera,limmat_zürich_mortensena_meiera,47.40025150,8.48541100,Zurich,8064,CH,r,Limmat,zurich,limmat,False
lorze_baar_blarere,Lorze_Baar_BlarerE,47.19540190,8.54023700,Baar,6340,CH,r,Lorze,baar,lorze,False
lotschebach_bern_scheurerk,lötschebach_bern_scheurerk,46.96494600,7.49283590,Ostermundigen,3072,CH,r,Lötschebach,ostermundigen,lotschebach,False
maladaire,Maladaire,46.44629600,6.87696000,La Tour de Peilz,1814,CH,l,Lac Léman,la-tour-de-peilz,lac-leman,False
mammern-swisslitterreport,Mammern swisslitterreport,47.65583660,8.95531680,Steckborn,8266,CH,l,Untersee,steckborn,untersee,False
murg_waengi_strickerr,Murg_Waengi_StrickerR,47.49361000,8.96159280,Wängi,9545,CH,r,Murg,wangi,murg,False
mullermatte,Müllermatte,47.13333900,7.22790700,biel,2505,CH,l,Bielersee,biel,bielersee,True
neuenburgersee_cudrefin_mattera,Neuenburgersee_Cudrefin_MatterA,46.96270890,7.02596810,Cudrefin,1588,CH,l,Neuenburgersee,cudrefin,neuenburgersee,True
ognonnaz-1,Ognonnaz 1,46.45994130,6.85913410,Vevey,1800,CH,r,Ognonnaz,vevey,ognonnaz,False
oyonne,Oyonne,46.45668200,6.85226200,La Tour de Peilz,1814,CH,l,Lac Léman,la-tour-de-peilz,lac-leman,False
parc-des-pierrettes,Parc des Pierrettes,46.51521500,6.57553100,Saint Sulpice,1025,CH,l,Lac Léman,saint-sulpice,lac-leman,False
pfaffner_rothrist_ischik,Pfaffner_Rothrist_Ischik,47.29856780,7.89946640,Rothrist,4852,CH,r,Pfaffnern,rothrist,pfaffnern,False
pierrier-sud,Pierrier sud,46.43956010,6.89100010,Montreux,1815,CH,l,Lac Léman,montreux,lac-leman,False
plage-de-cheyres,Plage de Cheyres,46.81868900,6.78225600,Cheyres,1468,CH,l,Neuenburgersee,cheyres,neuenburgersee,True
plage-de-dorigny,Plage de Dorigny,46.51816900,6.58331900,Saint Sulpice,1025,CH,l,Lac Léman,saint-sulpice,lac-leman,False
plage-de-st-sulpice,Plage de St Sulpice,46.51326500,6.57097700,Saint Sulpice,1025,CH,l,Lac Léman,saint-sulpice,lac-leman,True
preverenges,Préverenges,46.51269000,6.52765700,Préverenges,1028,CH,l,Lac Léman,preverenges,lac-leman,True
quai-maria-belgia,Quai Maria Belgia,46.46015600,6.83671800,Vevey,1800,CH,l,Lac Léman,vevey,lac-leman,True
reuss,Reuss,47.32986910,8.35684930,Bremgarten,5626,CH,r,Reuss,bremgarten,reuss,False
reuss_hunenberg_eberhardy,reuss_hünenberg_eberhardy,47.23297550,8.40101210,Hünenberg,6331,CH,r,Reuss,hunenberg,reuss,False
reuss_ottenbach_schoenenbergerl,reuss_ottenbach_schoenenbergerl,47.27835450,8.39422420,Merenschwand,5634,CH,r,Reuss,merenschwand,reuss,False
reuss_stkarli_linigersimhofy,Reuss_St.Karli_LinigerS/ImhofY,47.05711180,8.28791450,Luzern,6004,CH,r,Reuss,luzern,reuss,False
rhein-beach-tinguely,Rhein Beach Tinguely,47.55864390,7.61215360,Basel,4058,CH,r,Rhein,basel,rhein,False
rhein_basel,Rhein_Basel,47.55680180,7.60108560,Basel,4058,CH,r,Rhein,basel,rhein,False
rhein_basel_blarerp_1,Rhein_Basel_BlarerP_1,47.58940620,7.58731810,Huningue,68330,CH,r,Rhein,huningue,rhein,False
rhein_basel_blarerp_2,Rhein_Basel_BlarerP_2,47.59115100,7.58794850,Huningue,68330,CH,r,Rhein,huningue,rhein,False
rhein_basel_hungerbuehlern,Rhein_Basel_HungerbuehlerN,47.55821760,7.61034880,Basel,4058,CH,r,Rhein,basel,rhein,False
rhein_domatems_foppa_f,rhein_domatems_foppa_f,46.83803750,9.44763870,Domat Ems,7013,CH,r,Rhein,domat-ems,rhein,False
rhein_eglisau_gomringerp,rhein_eglisau_gomringerp,47.57331590,8.53458470,Eglisau,8193,CH,r,Rhein,eglisau,rhein,False
rhein_hemishofen_stolll,Rhein_Hemishofen_StollL,47.67552360,8.82802920,Hemishofen,8261,CH,r,Rhein,hemishofen,rhein,False
rhein_laag_jungbluthn,rhein_laag_jungbluthn,47.69152540,8.71721040,Büsingen a Hochrhein,78266,CH,r,Rhein,busingen-a-hochrhein,rhein,False
rolle-plage,Rolle-plage,46.46130000,6.34973900,Rolle,1180,CH,l,Lac Léman,rolle,lac-leman,False
saint-sulpice,Saint Sulpice,46.50780800,6.54534400,Saint Sulpice,1025,CH,l,Lac Léman,saint-sulpice,lac-leman,False
schiffenensee_duedingen_hirschij,schiffenensee_duedingen_hirschij,46.85915140,7.17643740,Düdingen,3186,CH,l,Schiffenensee,dudingen,schiffenensee,False
sempachersee_sempach_tampec,sempachersee_sempach_tampec,47.12861810,8.19187370,Sempach,6204,CH,l,Sempachsee,sempach,sempachsee,False
sense_torishaus_g-cubes,Sense_Törishaus_g cubes,46.88312060,7.35318890,Köniz,3174,CH,r,Sense,koniz,sense,False
sihlsee_einsiedeln_schilligerllacherl,sihlsee_einsiedeln_schilligerllacherl,47.14139380,8.76035880,Einsiedeln,8840,CH,l,Sihlsee,einsiedeln,sihlsee,False
sihl_adliswil_oggi_fort,Sihl_Adliswil_Oggi_Fort,47.31242170,8.52625490,Adliswil,8134,CH,r,Sihl,adliswil,sihl,False
sihl_horgen_bucherf,Sihl_Horgen_BucherF,47.27269460,8.55368210,Horgen,8810,CH,r,Sihl,horgen,sihl,False
sihl_leimbach_kruegerm,sihl_leimbach_kruegerm,47.32543610,8.51911950,Zurich,8041,CH,r,Sihl,zurich,sihl,False
sihl_menzingen_kucharska_magdalena,Sihl_Menzingen_Kucharska_Magdalena,47.19150120,8.61842140,Menzingen,6313,CH,r,Sihl,menzingen,sihl,False
sihl_zuerich_eggerskoehlingera,sihl_zuerich_eggerskoehlingera,47.38189810,8.53832790,Zurich,8005,CH,r,Sihl,zurich,sihl,False
sihl_zuerich_eichenbergerd,Sihl_zuerich_eichenbergerD,47.33958830,8.51669650,Zurich,8041,CH,r,Sihl,zurich,sihl,False
sihl_zuerich_scherfs,Sihl_Zuerich_ScherfS,47.37314950,8.53236980,Zurich,8001,CH,r,Sihl,zurich,sihl,False
sihl_zurich_himmelhebern,sihl_zurich_himmelhebern,47.34305540,8.51861220,Zurich,8041,CH,r,Sihl,zurich,sihl,False
sitter_gaiserwald_buehlerf,sitter_gaiserwald_buehlerf,47.42516090,9.34010370,St Gallen,9000,CH,r,Sitter,st-gallen,sitter,False
sitter_stgallen_jennya,Sitter_St.Gallen_JennyA,47.41024240,9.32037600,St Gallen,9014,CH,r,Sitter,st-gallen,sitter,False
sitter_stgallen_steinbrunnerf,sitter_stgallen_steinbrunnerf,47.43329170,9.35807470,St Gallen,9000,CH,r,Sitter,st-gallen,sitter,False
sorne_birse_wwfjura,sorne_birse_WWFJura,47.37098680,7.36090990,Delémont,2800,CH,r,Birs,delemont,birs,False
strandbeiz,Strandbeiz,47.21586170,8.84309840,Jona city,8645,CH,l,Zurichsee,jona-city,zurichsee,True
thunersee_spiez_meierd_1,thunersee_spiez_meierd_1,46.70443680,7.65788240,Spiez,3646,CH,l,Thunersee,spiez,thunersee,True
thur_schoenenberg_schaera,Thur_Schoenenberg_SchaerA,47.52407260,9.19833470,Kradolf Schönenberg,9214,CH,r,Thur,kradolf-schonenberg,thur,False
thur_schwarzenbach_meiliw,thur_schwarzenbach_meiliw,47.44678660,9.06381560,Wil,9500,CH,r,Thur,wil,thur,False
tiger-duck-beach,Tiger duck beach,46.51825600,6.58254600,Saint Sulpice,1025,CH,l,Lac Léman,saint-sulpice,lac-leman,False
toss_bauma_kurthe,Töss_Bauma_KurthE,47.37017570,8.86782490,Bauma,8494,CH,r,Töss,bauma,ti12ss,False
toss_kollbrunn_burgid,töss_kollbrunn_bürgid,47.45456980,8.77968000,Zell,8483,CH,r,Töss,zell,ti12ss,False
toss_winterthur-2,Töss_Winterthur 2,47.47870730,8.70842640,Winterthur,8406,CH,r,Töss,winterthur,ti12ss,False
unterdsee_ermatingen_brunkem,unterdsee_ermatingen_brunkem,47.67263330,9.08124620,Ermatingen,8272,CH,l,Untersee,ermatingen,untersee,False
untersee_steckborn_siedlerm,untersee_steckborn_siedlerm,48.49575410,27.07421580,Selyshche,60216,CH,l,Untersee,selyshche,untersee,False
urnaesch_urnaesch_meierr,urnaesch_urnaesch_meierr,47.32509860,9.29541880,Hundwil,9107,CH,r,Urnäsch,hundwil,urnasch,False
versoix,Versoix,46.28919400,6.17056930,Versoix,1290,CH,l,Lac Léman,versoix,lac-leman,True
veveyse,Veveyse,46.46102200,6.83498300,Vevey,1800,CH,l,Lac Léman,vevey,lac-leman,False
vidy,Vidy,46.51471550,6.59858840,Lausanne,1007,CH,l,Lac Léman,lausanne,lac-leman,False
vierwaldstattersee_weggis_schoberls_1,vierwaldstättersee_weggis_schöberls_1,47.04453210,8.41856890,Weggis,6353,CH,l,Quatre Cantons,weggis,quatre-cantons,False
vierwaldstattersee_weggis_schoberls_2,vierwaldstättersee_weggis_schöberls_2,47.04395300,8.41730760,Weggis,6353,CH,l,Quatre Cantons,weggis,quatre-cantons,False
vierwaldstattersee_weggis_schoberls_3,vierwaldstättersee_weggis_schöberls_3,47.02995660,8.41080100,Weggis,6353,CH,l,Quatre Cantons,weggis,quatre-cantons,False
villa-barton,Villa Barton,46.22235000,6.15250000,Genève,1202,CH,l,Lac Léman,geneve,lac-leman,False
vira-gambarogno,Vira Gambarogno,46.14356500,8.83902500,Gambarogno,6574,CH,l,Lago Maggiore,gambarogno,lago-maggiore,True
vorderrhein_disentis_schmidn,vorderrhein_disentis_schmidn,46.69827390,8.85783730,Disentis Mustér,7180,CH,r,Vorderrhein,disentis-muster,vorderrhein,False
walensee_walenstadt_wysse,Walensee_Walenstadt_WyssE,47.12182820,9.29955170,Walenstadt,8880,CH,l,Walensee,walenstadt,walensee,True
weissenau-neuhaus,Weissenau-Neuhaus,46.67658300,7.81752800,Unterseen,3800,CH,l,Thunersee,unterseen,thunersee,True
zuerichsee_maennedorf_vanderkaadene,zuerichsee_maennedorf_vanderkaadene,47.25475400,8.68750380,Männedorf,8708,CH,l,Zurichsee,mannedorf,zurichsee,False
zuerichsee_richterswil_benkoem_2,zuerichsee_richterswil_benkoem_2,47.21764580,8.69871330,Richterswil,8805,CH,l,Zurichsee,richterswil,zurichsee,True
zuerichsee_staefa_hennm,zuerichsee_staefa_hennm,47.23464310,8.76988140,Stäfa,8713,CH,l,Zurichsee,stafa,zurichsee,False
zuerichsee_waedenswil_colomboc_1,zuerichsee_waedenswil_colomboc_1,47.21954680,8.69196110,Richterswil,8805,CH,l,Zurichsee,richterswil,zurichsee,False
zuerichsee_zurich_kullg,zuerichsee_zurich_kullg,47.35395730,8.55047430,Zurich,8008,CH,l,Zurichsee,zurich,zurichsee,False
zugerseecholler_cham_blarerm,ZugerseeCholler_Cham_BlarerM,47.17821570,8.48001280,Zug,6300,CH,l,Zugersee,zug,zugersee,False
zugersee_immensee_guedesd,zugersee_Immensee_Guedesd,47.10668690,8.47888120,Meierskappel,6344,CH,l,Zugersee,meierskappel,zugersee,False
zulg_steffisburg_schmassmanne,zulg_steffisburg_schmassmanne,46.77424310,7.62453720,Steffisburg,3612,CH,r,Zulg,steffisburg,zulg,False
zurichsee-feldeggstr-banningersand,Zürichsee Feldeggstr BänningerSand,47.35939220,8.54736820,Zurich,8008,CH,l,Zurichsee,zurich,zurichsee,False
zurichsee_kusnachterhorn_thirkell-whitej,Zürichsee_Küsnachterhorn_Thirkell WhiteJ,47.31768490,8.57686020,Küsnacht,8700,CH,l,Zurichsee,kusnacht,zurichsee,True
zurichsee_wollishofen_langendorfm,zürichsee_wollishofen_langendorfm,47.34588990,8.53615450,Zurich,8038,CH,l,Zurichsee,zurich,zurichsee,True
